id_pair,curated_smiles_molecule_a,curated_smiles_molecule_b,image_a_file,image_b_file,frac_similar
27,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,image_molecule_027a.png,image_molecule_027b.png,0.68421052631579
28,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,image_molecule_028a.png,image_molecule_028b.png,0.478260869565217
29,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,image_molecule_029a.png,image_molecule_029b.png,0.5
30,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,image_molecule_030a.png,image_molecule_030b.png,0.761904761904762
31,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,image_molecule_031a.png,image_molecule_031b.png,0.380952380952381
32,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(F)cc3)c3ccccc3)CC2)cc1,image_molecule_032a.png,image_molecule_032b.png,0.642857142857143
33,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,image_molecule_033a.png,image_molecule_033b.png,0.6
34,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1,image_molecule_034a.png,image_molecule_034b.png,0.592592592592593
35,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,image_molecule_035a.png,image_molecule_035b.png,0.647058823529412
36,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,image_molecule_036a.png,image_molecule_036b.png,0.666666666666667
37,O=S(=O)(NCC1CC2(c3ccc(F)cc3)NC1CCC2NCc1cc(OC(F)(F)F)ccc1OC1CC1)c1ccccc1,O=C(O)C1CC2(c3ccc(F)cc3)NC1CCC2NCc1cc(OC(F)(F)F)ccc1OC1CC1,image_molecule_037a.png,image_molecule_037b.png,0.588235294117647
38,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,image_molecule_038a.png,image_molecule_038b.png,0.705882352941176
39,CCCSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3ccncc3)c1)CC2,image_molecule_039a.png,image_molecule_039b.png,0.5625
40,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(C(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)cc1,image_molecule_040a.png,image_molecule_040b.png,0.590909090909091
41,COc1ccc(CNC(=O)C(c2ccc(C)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(F)cc3)c3ccccc3)CC2)cc1,image_molecule_041a.png,image_molecule_041b.png,0.545454545454545
42,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,image_molecule_042a.png,image_molecule_042b.png,0.368421052631579
43,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,image_molecule_043a.png,image_molecule_043b.png,0.571428571428571
44,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(C(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)cc1,image_molecule_044a.png,image_molecule_044b.png,0.476190476190476
45,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,image_molecule_045a.png,image_molecule_045b.png,0.521739130434783
46,Cc1ncccc1Oc1ccc(NC(=O)N2CCc3cc(Br)c(C(F)(F)F)cc32)cn1,CC(C)Oc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,image_molecule_046a.png,image_molecule_046b.png,0.473684210526316
47,COc1ccc(CNC(=O)C(c2ccc(C)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,image_molecule_047a.png,image_molecule_047b.png,0.5
48,OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,image_molecule_048a.png,image_molecule_048b.png,0.4
49,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccc4ccccc4c3)[nH]c2c1,c1ccc(-c2[nH]c3ccccc3c2C2CC3CCC(C2)N3)cc1,image_molecule_049a.png,image_molecule_049b.png,0.285714285714286
50,COc1ccc(N2CC=C(c3ccc(F)cc3)C2=O)cc1OCCN1CCCCC1,COc1ccc(N2CC=C(c3ccc(F)cc3)C2=O)cc1OCCN1CCC(C)CC1,image_molecule_050a.png,image_molecule_050b.png,0.956521739130435
51,CC(C)[C@@H](CN1CCC(c2cccc(O)c2)CC1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,image_molecule_051a.png,image_molecule_051b.png,0.8125
52,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,image_molecule_052a.png,image_molecule_052b.png,0.863636363636364
53,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC(C)(C)C(=O)O)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC2(C(=O)O)CCCC2)c1,image_molecule_053a.png,image_molecule_053b.png,0.92
54,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1,image_molecule_054a.png,image_molecule_054b.png,0.904761904761905
55,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1,image_molecule_055a.png,image_molecule_055b.png,1.0
56,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cccnc2)c2cccc(F)c12)C1CC1,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2cccc(F)c2)c2cccc(F)c12)C1CC1,image_molecule_056a.png,image_molecule_056b.png,0.72
57,COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,image_molecule_057a.png,image_molecule_057b.png,0.714285714285714
58,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,image_molecule_058a.png,image_molecule_058b.png,0.758620689655172
59,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(F)cc2)CC1,image_molecule_059a.png,image_molecule_059b.png,0.904761904761905
60,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1,image_molecule_060a.png,image_molecule_060b.png,1.0
61,CNC1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,image_molecule_061a.png,image_molecule_061b.png,0.857142857142857
62,Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5C)[C@H](C)C3)cccc2n1,Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5CC(F)F)CC3)cccc2n1,image_molecule_062a.png,image_molecule_062b.png,0.6875
63,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccccc3)CC2)cc1,image_molecule_063a.png,image_molecule_063b.png,0.625
64,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,image_molecule_064a.png,image_molecule_064b.png,0.88
65,CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CN(c1ncccn1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,image_molecule_065a.png,image_molecule_065b.png,0.625
66,CC(=O)SCc1ccc(-c2cccnc2)o1,c1cncc(-c2ccc(C3SCCS3)o2)c1,image_molecule_066a.png,image_molecule_066b.png,0.619047619047619
67,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,image_molecule_067a.png,image_molecule_067b.png,0.888888888888889
68,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,image_molecule_068a.png,image_molecule_068b.png,0.764705882352941
69,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCCO3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(O)(Cc3ccccc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,image_molecule_069a.png,image_molecule_069b.png,0.75
70,CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CN(Cc1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,image_molecule_070a.png,image_molecule_070b.png,0.789473684210526
71,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,image_molecule_071a.png,image_molecule_071b.png,0.833333333333333
72,COc1ccc(OC)c(S(=O)(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,Cc1cccc(S(=O)(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,image_molecule_072a.png,image_molecule_072b.png,0.736842105263158
73,Cc1cc(Cn2cc(CN(C(=O)[C@H]3CNCC[C@]3(O)c3ccc(F)c(F)c3)C3CC3)c3c(F)cccc32)no1,COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)C2CC2)c2c(F)cccc21,image_molecule_073a.png,image_molecule_073b.png,0.814814814814815
74,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3c(F)cccc3F)c1)CC2,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(C)c(-c3cnccc3C)c1)CC2,image_molecule_074a.png,image_molecule_074b.png,0.833333333333333
75,Clc1cccc(N2CCNCC2)c1,COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(C)C)cc1,image_molecule_075a.png,image_molecule_075b.png,0.0
76,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,CC(C)c1cccc(C(C)C)c1O,image_molecule_076a.png,image_molecule_076b.png,0.035714285714286
77,COC(=O)NCCc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)cc1,image_molecule_077a.png,image_molecule_077b.png,0.25
78,Cc1nccc2c1[nH]c1ccccc12,C=CCOCC(O)CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,image_molecule_078a.png,image_molecule_078b.png,0.047619047619048
79,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1C,CN(C)CCOC(c1ccccc1)c1ccccc1,image_molecule_079a.png,image_molecule_079b.png,0.111111111111111
80,C[C@H]1SC(c2ccccc2O)=N[C@@H]1CO,Cc1cccc(NC2=NC(N)=NC3(CCCCC3)N2)c1,image_molecule_080a.png,image_molecule_080b.png,0.0
81,Fc1cccc2c1nc(OCC1CCN(CCCC(F)(F)F)CC1)c1cccnc12,Cc1ccc2c(c1)N1CCNCC1NC2=O,image_molecule_081a.png,image_molecule_081b.png,0.1875
82,Cc1ccc2c(OCCN3CCN(Cc4cccc5cccnc45)CC3)cccc2n1,CN(C)[C@H]1Cc2ccccc2[C@H](c2cccc(-c3ccccc3)c2)C1,image_molecule_082a.png,image_molecule_082b.png,0.0625
83,NC(N)=NC(=O)c1ccc2c(c1)C(O)c1c(Cl)cccc1-2,N=C1NC(=O)/C(=C\c2c[nH]c3ccccc23)N1,image_molecule_083a.png,image_molecule_083b.png,0.16
84,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,CN(C)Cc1ccc(-c2cccnc2)s1,image_molecule_084a.png,image_molecule_084b.png,0.0
85,OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCSc1ccccc1F,NC(N)=NC(=O)c1ccc2c(c1)C(N)c1ccccc1-2,image_molecule_085a.png,image_molecule_085b.png,0.0
86,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,image_molecule_086a.png,image_molecule_086b.png,0.0
87,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,image_molecule_087a.png,image_molecule_087b.png,0.172413793103448
88,NC(N)=NC(=O)c1ccc2c(c1)C(O)c1cccc(Cl)c1-2,CCc1cc2c(c(C(F)(F)F)c1)C(=O)N[C@H]1CNC[C@H]21,image_molecule_088a.png,image_molecule_088b.png,0.166666666666667
89,CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,C[C@@H]1SC(c2ccc(-c3ccccc3)cc2)=N[C@H]1Cc1c[nH]cn1,image_molecule_089a.png,image_molecule_089b.png,0.076923076923077
90,OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,image_molecule_090a.png,image_molecule_090b.png,0.230769230769231
91,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(-c3cccnc3)nc1)CC2,NC(N)=NC(=O)c1ccc2c(c1)-c1ccccc1C2O,image_molecule_091a.png,image_molecule_091b.png,0.055555555555556
92,CC(C)c1ccc(S(=O)(=O)c2n[nH]c3ccc(NC4CCNCC4)cc23)cc1,O=C1c2ccc(C(F)(F)F)cc2C[C@@H]2CNCCN12,image_molecule_092a.png,image_molecule_092b.png,0.0
93,C[C@@H](NC(=O)Nc1cccc(-c2nnnn2C)c1)[C@@H](O)CN1CCC[C@@H](Cc2ccc(F)cc2)C1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,image_molecule_093a.png,image_molecule_093b.png,0.111111111111111
94,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CN(C)CCC1=C(Cc2cnccn2)c2ccc(Cl)cc2C1,image_molecule_094a.png,image_molecule_094b.png,0.0
95,OCC1CC2(c3ccccc3)NC1CCC2NCc1cc(OC(F)(F)F)ccc1OC1CC1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,image_molecule_095a.png,image_molecule_095b.png,0.04
96,Cc1ccc2c(c1C)N1[C@H](CNC[C@H]1C)C2,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cncc(-c3ccc(F)cc3)c1)CC2,image_molecule_096a.png,image_molecule_096b.png,0.0
97,COc1ccc(N2Cc3c(c4cc(Cl)c(Cl)cc4n3C)C2=O)cc1OCCN1CCCCC1,O=C1NC2CCNCCN2c2ccccc21,image_molecule_097a.png,image_molecule_097b.png,0.166666666666667
98,Cc1nc2ccccn2c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,image_molecule_098a.png,image_molecule_098b.png,0.125
99,CC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN([C@]2(c3ccccc3)CC[C@@H](N3CCN(c4ccccc4Cl)C(=O)C3)CC2)C1=O,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)c1ccc(F)cc1,image_molecule_099a.png,image_molecule_099b.png,0.058823529411765
100,Cc1cscc1-c1cccnc1,Cc1ccsc1-c1cccnc1,image_molecule_100a.png,image_molecule_100b.png,0.818181818181818
101,O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)cc1,O=S(=O)(c1ccc(F)cc1)c1ccc(/C=C/c2ccc(F)cc2)nc1,image_molecule_101a.png,image_molecule_101b.png,0.5625
102,NCc1ccc(-c2ccccc2)o1,CNCc1ccc(-c2cccnc2)o1,image_molecule_102a.png,image_molecule_102b.png,0.380952380952381
103,CCCCCCCN(CC)CC#CCc1ccc(Cl)cc1,CCCCCCCN(CC)CC#Cc1ccc(C)cc1,image_molecule_103a.png,image_molecule_103b.png,0.75
104,CN(C)Cc1ccc(-c2cccnc2)s1,CNCc1ccc(-c2cccnc2)o1,image_molecule_104a.png,image_molecule_104b.png,0.652173913043478
105,C[C@@H]1CN2C(=O)c3c(cccc3C(F)(F)F)[C@@H]2CN1,COc1c(Cl)ccc2c1C(=O)N1CCNC[C@@H]21,image_molecule_105a.png,image_molecule_105b.png,0.411764705882353
106,CNCc1ccc(-c2cccnc2)o1,CNCc1ccc(-c2cccnc2)s1,image_molecule_106a.png,image_molecule_106b.png,0.8
107,COc1ccc(N2Cc3c(c4cc(Cl)c(Cl)cc4n3C)C2=O)cc1OCCN1CCCCC1,COc1ccc(N2CCN(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCCC1,image_molecule_107a.png,image_molecule_107b.png,0.655172413793103
